Name,Response rate,Popularity,Room Score,Service Score,Food Score,Location Score,Overall Score
Fairfield Inn & Suites by Marriott Denver West/Federal Center,92%,,79,92,76,93,91
Fairfield Inn & Suites Denver Aurora/Southlands,22%,,53,80,66,97,81
Fairfield Inn & Suites Denver North Westminster,31%,,74,76,85,92,83
Fairfield Inn & Suites Denver Southwest/Lakewood,70%,71%,43,83,80,85,75
Fairfield Inn & Suites Denver Tech Center North,94%,38%,71,87,50,82,89
Fairfield Inn by Marriott Denver Cherry Creek,97%,55%,53,86,57,78,78
Fairfield Inn Denver Aurora,21%,19%,56,70,69,85,77
Fairfield Inn Denver West / Federal Center,44%,,38,66,32,80,70
Four Seasons Hotel Denver,66%,98%,82,88,84,94,92
Gaylord Rockies Resort,13%,,63,71,41,53,83
Golden Days Inn & Suites Golden/West Denver,76%,51%,40,59,33,89,66
Grand Hyatt Denver,29%,94%,78,90,77,88,90
Halcyon - A Hotel in Cherry Creek,80%,99%,80,90,90,94,92
Hampton Inn & Suites Chicago,35%,70%,81,92,90,96,92
Hampton Inn & Suites Denver Downtown,50%,88%,78,86,85,80,87
Hampton Inn & Suites Denver Downtown - Convention Center,35%,83%,70,80,79,83,81
Hampton Inn & Suites Denver Highlands Ranch,9%,83%,71,82,71,91,86
Hampton Inn & Suites Denver Littleton,80%,67%,78,94,79,95,89
Hampton Inn & Suites Denver-Speer Boulevard,12%,80%,84,92,93,86,90
Hampton Inn & Suites Denver-Tech Center,28%,74%,65,86,78,89,85
Hampton Inn & Suites Denver/Airport-Gateway Park,51%,93%,83,89,69,91,90
Hampton Inn Denver West Federal Center,68%,89%,69,83,82,94,85
Hampton Inn Denver-International Airport,58%,36%,72,83,79,93,84
Hampton Inn Denver-West/Golden,69%,,64,83,74,89,84
Hampton Inn Denver/Northwest/Westminster,9%,0%,69,85,60,95,83
Hampton Inn East Aurora,60%,50%,77,95,79,92,91
Hampton Inn Littleton,19%,100%,75,91,75,99,87
Hilton Denver City Center,60%,77%,65,79,64,88,83
Hilton Garden Inn Denver Airport,88%,81%,73,89,74,92,87
Hilton Garden Inn Denver Downtown,62%,54%,53,82,70,79,76
Hilton Garden Inn Denver Tech Center,93%,56%,69,88,73,80,88
Hilton Garden Inn Denver Union Station,69%,78%,76,76,64,88,86
Hilton Garden Inn Denver/Cherry Creek,45%,80%,70,82,73,92,84
Holiday Inn & Suites Denver Airport,26%,41%,62,75,65,87,83
Holiday Inn Denver - Cherry Creek,11%,32%,51,73,66,75,79
Holiday Inn Denver East - Stapleton,95%,63%,53,73,72,72,78
Holiday Inn Denver Lakewood,45%,60%,80,88,68,97,88
Holiday Inn Denver-West Across from Colo Mills,,10%,,,,,44
Holiday Inn Express & Suites - Aurora Medical Campus,88%,,63,77,69,73,84
Holiday Inn Express & Suites Aurora - Naperville,95%,10%,86,97,84,86,93
Holiday Inn Express & Suites Golden - Denver Area,0%,,70,91,83,100,88
Holiday Inn Express & Suites Littleton,79%,77%,71,94,85,95,85
Holiday Inn Express Denver Downtown,48%,64%,51,86,81,91,82
